"Name","Team","WAR","playerid"
"Scott Spiezio","STL","0.0","37"
"Steve Finley","ARI","0.0","54"
"Augie Ojeda","ARI","0.0","297"
"John McDonald","PHI","0.0","395"
"Shane Halter","- - -","0.0","468"
"Tyson Brummett","PHI","0.0","509"
"Brent Mayne","COL","0.0","614"
"J.P. Arencibia","TEX","0.0","697"
"Todd Frazier","NYM","0.0","785"
"Duke Welker","PIT","0.0","792"
"Robin Ventura","LAD","0.0","854"
"Tomas Perez","PHI","0.0","965"
"Mike Benjamin","BOS","0.0","981"
"Wiki Gonzalez","SDP","0.0","1033"
"D'Angelo Jimenez","SDP","0.0","1038"
"Jeff Cirillo","ARI","0.0","1073"
"Desi Relaford","- - -","0.0","1096"
"Felipe Lopez","STL","0.0","1311"
"Mark Loretta","- - -","0.0","1383"
"Lenny Harris","CIN","0.0","1394"
"Chris Donnels","LAD","0.0","1396"
"Abraham Nunez","PIT","0.0","1420"
"Nick Green","BOS","0.0","1502"
"Michael Cuddyer","MIN","0.0","1534"
"Ross Gload","FLA","0.0","1538"
"David Ross","CHC","0.0","1551"
"DeWayne Wise","- - -","0.0","1554"
"Jamey Carroll","MIN","0.0","1591"
"Bill Hall","BOS","0.0","1605"
"Cody McKay","STL","0.0","1615"
"Lyle Overbay","MIL","0.0","1617"
"Tim Laker","CLE","0.0","1681"
"Kevin Ohme","STL","0.1","1687"
"Cody Ross","FLA","0.0","1760"
"Trent Durrington","MIL","0.0","1805"
"Wilson Valdez","PHI","0.0","1863"
"Adam LaRoche","CHW","0.0","1904"
"Phil Seibel","BOS","-0.1","1905"
"Chris Saenz","MIL","0.2","1913"
"Jason Wood","FLA","0.0","1999"
"Sam Marsonek","NYY","0.0","2144"
"Don Kelly","DET","0.0","2216"
"Ryan Raburn","CLE","0.0","2218"
"Tony Pena","KCR","0.0","2240"
"Andrew Brackman","NYY","0.0","2365"
"Alex Serrano","LAA","0.0","2436"
"Bryan Petersen","FLA","0.0","2567"
"Brandon Guyer","CLE","0.0","2636"
"Garrett Jones","NYY","0.0","2714"
"Mitch Moreland","- - -","0.0","3086"
"Andy Marte","CLE","0.0","3203"
"Tyler Ladendorf","OAK","0.0","3211"
"Anthony Rizzo","CHC","0.0","3473"
"Phil Barzilla","HOU","0.0","3486"
"Marcus Hatley","STL","0.0","4002"
"Erick Aybar","SDP","0.0","4082"
"Shane Robinson","MIN","0.0","4249"
"Chris Denorfia","CHC","0.0","4400"
"Steve Tolleson","TOR","0.0","4450"
"Mike McCoy","TOR","0.0","4583"
"Nick Swisher","NYY","0.0","4599"
"Russell Martin","LAD","0.1","4616"
"John Baker","CHC","0.0","4756"
"Alberto Gonzalez","NYY","0.0","4906"
"Alexei Ramirez","CHW","0.0","5133"
"Kelvin Marte","PIT","-0.2","5200"
"Jon Jay","CHC","0.0","5227"
"Pablo Sandoval","SFG","0.0","5409"
"Mitch Maier","KCR","0.0","5588"
"Jamie Vermilyea","TOR","0.1","5660"
"David Murphy","- - -","-0.1","6035"
"Brendan Ryan","NYY","0.0","6073"
"Eduardo Escobar","MIN","0.0","6153"
"Ian Kinsler","SDP","0.0","6195"
"Danny Valencia","BAL","0.0","6364"
"Sean Rodriguez","PHI","0.0","6589"
"Chase d'Arnaud","SFG","0.0","6652"
"Ian Desmond","COL","0.0","6885"
"Martin Maldonado","MIL","0.0","6887"
"Clint Robinson","WSN","0.0","6908"
"Mike Schultz","ARI","0.0","7057"
"Caleb Joseph","ARI","0.0","7087"
"Tyler Moore","WSN","0.0","7244"
"Joe Inglett","MIL","0.0","7254"
"Michael Martinez","CLE","0.0","7358"
"Ben Zobrist","CHC","0.0","7435"
"Neil Walker","PHI","0.0","7539"
"Jaff Decker","PIT","0.0","7945"
"Rob Johnson","- - -","0.0","8029"
"Josh Harrison","PIT","0.0","8202"
"Darren Clarke","COL","0.0","8226"
"Sam Fuld","TBR","0.0","8254"
"Ike Davis","OAK","0.0","8433"
"Wilking Rodriguez","KCR","0.0","8801"
"Alexi Amarista","SDP","0.0","9063"
"Josh Phegley","OAK","0.0","9308"
"Ryan Goins","TOR","0.0","9807"
"Steve Garrison","NYY","0.0","9869"
"Chris Dwyer","KCR","0.0","10045"
"Max Stassi","HOU","0.0","10059"
"Melvin Mercedes","DET","0.0","10181"
"Giovanni Soto","CLE","0.0","10330"
"Greg Garcia","STL","0.0","10951"
"Yhonathan Barrios","MIL","0.2","11166"
"Tyler Holt","CIN","0.0","11391"
"Nick Martini","OAK","0.0","12005"
"Matthew Tracy","NYY","0.0","12240"
"Ryan Rua","TEX","0.0","12409"
"Taylor Davis","CHC","0.0","12782"
"Danny Hultzen","CHC","0.1","12874"
"Luis Sardinas","- - -","0.0","13153"
"Luke Maile","TOR","0.0","13355"
"Carson Kelly","ARI","0.0","13620"
"Joey Krehbiel","ARI","0.0","13707"
"Jacob Stallings","PIT","0.0","13723"
"Anthony Bemboom","LAA","0.0","13854"
"Tyler Heineman","SFG","0.0","13897"
"Jose Rondon","CHW","0.0","14140"
"Daniel Robertson","TBR","0.0","14145"
"Matt Ramsey","LAA","0.0","14460"
"Carlos Tocci","TEX","0.0","14558"
"Phillip Ervin","CIN","0.0","14738"
"Kyle Farmer","CIN","0.0","14813"
"Johnny Field","TBR","0.0","15048"
"Mitch Garver","MIN","0.0","15161"
"Dan Slania","SFG","0.0","15639"
"Chris Ellis","KCR","0.0","16125"
"A.J. Reed","CHW","0.0","16246"
"Alex Blandino","CIN","0.0","16271"
"Foster Griffin","KCR","0.1","16432"
"Luis Guillorme","NYM","0.0","16451"
"Osmer Morales","LAA","0.0","17133"
"Max Schrock","STL","0.0","17750"
"Ian Happ","CHC","0.0","17919"
"Art Warren","SEA","0.1","18251"
"Mitchell White","LAD","0.0","19225"
"Jimmy Lambert","CHW","0.0","19541"
"Jeremy Beasley","ARI","0.0","20205"
"Jordan Holloway","MIA","0.0","20631"
"Garrett Crochet","CHW","0.2","27463"
"Mike Aldrete","NYY","0.0","1000114"
"Matty Alou","SFG","0.1","1000179"
"Mike Anderson","PHI","0.0","1000237"
"Howard Armstrong","PHA","0.0","1000312"
"Brian Bark","BOS","0.0","1000542"
"Junie Barnes","CIN","0.0","1000568"
"Edgar Barnhart","SLB","0.0","1000578"
"Frank Barron","WAS","0.0","1000609"
