"Season","Name","Team","WAR","playerid"
"1920","Babe Ruth","NYY","13.3","1011327"
"1921","Babe Ruth","NYY","13.9","1011327"
"1923","Babe Ruth","NYY","15.0","1011327"
"1941","Ted Williams","BOS","11.0","1014040"
"1926","Babe Ruth","NYY","12.0","1011327"
"1924","Babe Ruth","NYY","12.5","1011327"
"1927","Babe Ruth","NYY","13.0","1011327"
"2002","Barry Bonds","SFG","12.7","1109"
"1925","Rogers Hornsby","STL","10.8","1006030"
"1927","Lou Gehrig","NYY","12.5","1004598"
"1924","Rogers Hornsby","STL","12.5","1006030"
"2004","Barry Bonds","SFG","11.9","1109"
"2001","Barry Bonds","SFG","12.5","1109"
"1894","Hugh Duffy","BSN","7.5","1003533"
"1931","Babe Ruth","NYY","10.7","1011327"
"1946","Ted Williams","BOS","11.8","1014040"
"1887","Tip O'Neill","STL","8.2","1009821"
"1957","Ted Williams","BOS","9.7","1014040"
"1942","Ted Williams","BOS","11.6","1014040"
"1932","Jimmie Foxx","PHA","11.3","1004285"
"1922","Rogers Hornsby","STL","10.6","1006030"
"1930","Babe Ruth","NYY","10.5","1011327"
"1871","Levi Meyerle","PHN","1.4","1008830"
"1936","Lou Gehrig","NYY","9.7","1004598"
"1948","Stan Musial","STL","11.1","1009405"
"1934","Lou Gehrig","NYY","10.7","1004598"
"1949","Ted Williams","BOS","9.9","1014040"
"1895","Ed Delahanty","PHI","7.5","1003155"
"1928","Babe Ruth","NYY","10.6","1011327"
"1933","Jimmie Foxx","PHA","9.9","1004285"
"1919","Babe Ruth","BOS","9.4","1011327"
"1938","Jimmie Foxx","BOS","8.3","1004285"
"1947","Ted Williams","BOS","10.5","1014040"
"1954","Ted Williams","BOS","8.4","1014040"
"1939","Jimmie Foxx","BOS","7.3","1004285"
"1930","Lou Gehrig","NYY","9.6","1004598"
"1928","Rogers Hornsby","BSN","9.0","1006030"
"1901","Nap Lajoie","PHA","8.9","1007259"
"1911","Ty Cobb","DET","11.0","1002378"
"1894","Bill Joyce","WAS","4.9","1006633"
"1948","Ted Williams","BOS","8.5","1014040"
"1923","Harry Heilmann","DET","9.2","1005590"
"2003","Barry Bonds","SFG","10.2","1109"
"1932","Babe Ruth","NYY","8.7","1011327"
"1894","Joe Kelley","BAL","7.1","1006776"
"1896","Ed Delahanty","PHI","7.7","1003155"
"1994","Frank Thomas","CHW","7.0","255"
"1957","Mickey Mantle","NYY","11.4","1008082"
"1956","Mickey Mantle","NYY","11.5","1008082"
"1894","Billy Hamilton","PHI","8.3","1005270"
"1929","Rogers Hornsby","CHC","11.1","1006030"
"1930","Hack Wilson","CHC","8.0","1014083"
"1894","Sam Thompson","PHI","4.4","1013024"
"1928","Lou Gehrig","NYY","9.7","1004598"
"1939","Joe DiMaggio","NYY","8.5","1003311"
"1899","John McGraw","BAL","9.0","1008542"
"1911","Joe Jackson","CLE","9.3","1006301"
"1920","George Sisler","SLB","9.9","1012021"
"1937","Lou Gehrig","NYY","8.5","1004598"
"1927","Harry Heilmann","DET","6.9","1005590"
"1935","Arky Vaughan","PIT","9.6","1013377"
"1998","Mark McGwire","STL","8.5","1008559"
"1923","Rogers Hornsby","STL","7.1","1006030"
"1921","Rogers Hornsby","STL","11.2","1006030"
"1938","Hank Greenberg","DET","7.8","1004996"
"1923","Tris Speaker","CLE","8.7","1012309"
"1996","Mark McGwire","OAK","7.3","1008559"
"1899","Ed Delahanty","PHI","8.3","1003155"
"1997","Larry Walker","COL","9.1","455"
"1994","Jeff Bagwell","HOU","7.8","547"
"1961","Norm Cash","DET","10.2","1002043"
"1931","Lou Gehrig","NYY","9.2","1004598"
"1930","Babe Herman","BRO","7.7","1005691"
"1922","Tris Speaker","CLE","6.7","1012309"
"1941","Joe DiMaggio","NYY","9.8","1003311"
"1929","Babe Ruth","NYY","7.8","1011327"
"1912","Ty Cobb","DET","9.1","1002378"
"1902","Ed Delahanty","WAS","7.0","1003155"
"1999","Larry Walker","COL","4.7","455"
"1935","Jimmie Foxx","PHA","8.5","1004285"
"1934","Jimmie Foxx","PHA","8.8","1004285"
"1949","Ralph Kiner","PIT","7.8","1006923"
"1922","Babe Ruth","NYY","6.5","1011327"
"1894","Ed Delahanty","PHI","6.0","1003155"
"1931","Al Simmons","PHA","7.9","1011978"
