,Name,Season,Team,WAR
0,Garret Anderson,1996,CAL,20.2
0,Kevin Appier,1989,KCR,51.0
0,Scott Patterson,2008,- - -,0.0
0,Jamie Burke,2008,SEA,0.0
0,Mickey Callaway,1999,TBD,0.7
0,Dennis Cook,1988,SFG,3.9999999999999996
0,David Eckstein,2001,ANA,14.499999999999998
0,Darin Erstad,1997,ANA,25.700000000000003
0,Brad Fullmer,1998,MON,2.3000000000000003
0,Benji Gil,1995,TEX,0.6
0,Troy Glaus,1999,ANA,30.999999999999996
0,Neftali Feliz,2009,TEX,4.2
0,Adam Kennedy,2000,ANA,14.000000000000002
0,Mark Lukasiewicz,2001,ANA,0.09999999999999998
0,Bengie Molina,2000,ANA,5.5
0,Ramon Ortiz,1999,ANA,6.4
0,Troy Percival,1995,CAL,11.499999999999998
0,Lou Pote,1999,ANA,1.3
0,Tim Salmon,1993,CAL,33.6
0,Scott Schoeneweis,1999,ANA,5.400000000000001
0,Aaron Sele,1993,BOS,29.200000000000006
0,Scot Shields,2001,ANA,9.3
0,Xavier Cedeno,2011,HOU,1.2
0,Scott Spiezio,1997,OAK,7.800000000000001
0,Donne Wall,1995,HOU,1.7999999999999998
0,Jarrod Washburn,1998,ANA,21.499999999999996
0,Ben Weber,2000,- - -,2.0
0,Matt Wise,2000,ANA,2.3
0,Brian Anderson,1993,CAL,10.7
0,Miguel Batista,1992,PIT,15.5
0,Danny Bautista,2004,ARI,0.0
0,Jay Bell,1990,PIT,39.5
0,Greg Colbrunn,1995,FLA,3.5
0,Craig Counsell,2001,ARI,6.1
0,Steve Finley,1990,BAL,41.9
0,Luis Gonzalez,1991,HOU,52.900000000000006
0,Mark Grace,1988,CHC,46.6
0,Jose Guillen,1997,PIT,7.900000000000001
0,Rick Helling,1994,TEX,13.1
0,Randy Johnson,1988,MON,110.29999999999998
0,Byung-Hyun Kim,1999,ARI,10.899999999999999
0,Eric Knott,2001,ARI,0.4
0,Mike Koplove,2001,ARI,1.8
0,Matt Mantei,1995,FLA,3.8
0,Mike Morgan,1978,OAK,28.2
0,Mike Myers,1995,- - -,1.9000000000000006
0,John Patterson,2002,ARI,6.3
0,Armando Reynoso,1991,ATL,8.6
0,Curt Schilling,1988,BAL,79.80000000000001
0,Junior Spivey,2002,ARI,4.3
0,Todd Stottlemyre,1988,TOR,28.699999999999996
0,Greg Swindell,1986,CLE,31.400000000000002
0,Matt Williams,1990,SFG,32.5
0,Tony Womack,1997,PIT,4.9
0,Ernie Young,1996,OAK,1.2
0,Darren Bragg,1997,BOS,3.1
0,Vinny Castilla,1995,COL,19.799999999999997
0,John Ennis,2002,ATL,0.1
0,Julio Franco,1983,CLE,36.300000000000004
0,Rafael Furcal,2000,ATL,26.2
0,Marcus Giles,2003,ATL,12.9
0,Tom Glavine,1987,ATL,66.7
0,Chris Hammond,1990,CIN,11.999999999999998
0,Wes Helms,2003,MIL,0.9
0,Darren Holmes,1990,LAD,8.1
0,Andruw Jones,1998,ATL,60.5
0,Chipper Jones,1995,ATL,70.60000000000001
0,Kerry Ligtenberg,1997,ATL,3.4000000000000004
0,Albie Lopez,1993,CLE,5.699999999999999
0,Javy Lopez,1996,ATL,13.0
0,Greg Maddux,1986,CHC,116.4
0,Jason Marquis,2000,ATL,8.800000000000002
0,Kevin Millwood,1997,ATL,46.5
0,Damian Moss,2001,ATL,0.30000000000000004
0,Joe Nelson,2001,ATL,0.40000000000000013
0,Horacio Ramirez,2003,ATL,3.3
0,Mike Remlinger,1991,SFG,8.1
0,Gary Sheffield,1990,MIL,61.09999999999999
0,John Smoltz,1988,ATL,79.49999999999999
0,B.J. Surhoff,1988,MIL,25.9
0,Dan Wheeler,1999,TBD,5.0
0,Tony Batista,1999,- - -,8.9
0,Rick Bauer,2001,BAL,1.0999999999999999
0,Erik Bedard,2002,BAL,23.5
0,Larry Bigbie,2004,BAL,1.5
0,Mike Bordick,1992,OAK,18.3
0,Jeff Conine,1993,FLA,19.0
0,Marty Cordova,1995,MIN,6.500000000000001
0,Travis Driskill,2002,BAL,0.7
0,Scott Erickson,1990,MIN,29.799999999999997
0,Jay Gibbons,2002,BAL,4.8
0,Buddy Groom,1992,DET,7.099999999999999
0,Jerry Hairston,2001,BAL,0.2
0,Pat Hentgen,1991,TOR,23.8
0,Jason Johnson,1997,PIT,11.700000000000001
0,Jorge Julio,2001,BAL,0.8
0,Rodrigo Lopez,2000,SDP,11.200000000000001
0,Gary Matthews Jr.,2003,- - -,9.2
0,Melvin Mora,2001,BAL,21.7
0,John Parrish,2000,BAL,0.1999999999999999
0,Sidney Ponson,1998,BAL,18.8
0,Chris Richard,2001,BAL,1.8
0,Brian Roberts,2003,BAL,28.6
0,Willis Roberts,1999,DET,1.4
0,B.J. Ryan,1999,- - -,11.100000000000001
0,David Segui,1993,BAL,10.100000000000001
0,Chris Singleton,1999,CHW,5.0
0,Rolando Arrojo,1998,TBD,8.600000000000001
0,Carlos Baerga,1991,CLE,14.8
0,Rafael Betancourt,2003,CLE,15.299999999999999
0,John Burkett,1987,SFG,44.4
0,Frank Castillo,1991,CHC,19.7
0,Tony Clark,1997,DET,9.2
0,Johnny Damon,1996,KCR,43.7
0,Brian Daubach,2000,BOS,1.0
0,Casey Fossum,2001,BOS,5.1000000000000005
0,Rich Garces,1990,MIN,2.4
0,Nomar Garciaparra,1997,BOS,40.199999999999996
0,Wayne Gomes,1997,PHI,1.1
0,Chris Haney,1991,MON,7.9
0,Rickey Henderson,1980,OAK,95.50000000000001
0,Dustin Hermanson,1995,SDP,13.299999999999999
0,Shea Hillenbrand,2002,BOS,4.900000000000001
0,Sun-Woo Kim,2001,BOS,1.3999999999999997
0,Danny Worth,2014,DET,0.0
0,Derek Lowe,1997,- - -,39.199999999999996
0,Pedro Martinez,1992,LAD,84.3
0,Trot Nixon,2001,BOS,11.2
0,Jose Offerman,1992,LAD,15.100000000000001
0,Darren Oliver,1993,TEX,19.899999999999995
0,Manny Ramirez,1995,CLE,62.300000000000004
0,Will Venable,2013,SDP,2.6
0,Rey Sanchez,1995,CHC,7.5
0,Ugueth Urbina,1995,MON,10.9
0,Jason Varitek,1999,BOS,19.599999999999998
0,Tim Wakefield,1992,PIT,27.2
0,Mark Buehrle,2000,CHW,52.199999999999996
0,Royce Clayton,1993,SFG,15.399999999999999
0,Joe Crede,2003,CHW,6.9
0,Ray Durham,1995,CHW,23.700000000000003
0,Keith Foulke,1997,- - -,12.299999999999999
