"Season","Name","Team","WAR","playerid"
"1963","Buster Narum","BAL","0.2","1009455"
"2010","Gustavo Chacin","HOU","0.2","2060"
"1938","Bill Lefebvre","BOS","0.1","1007472"
"2008","Felix Hernandez","SEA","0.3","4772"
"2005","Eddie Rogers","BAL","0.0","1621"
"1999","Guillermo Mota","MON","0.1","1467"
"2000","Esteban Yan","TBD","0.3","1236"
"1973","Eduardo Rodriguez","MIL","0.1","1011102"
"1924","Nick Altrock","WAS","0.1","1000191"
"1980","Scott Munninghoff","PHI","0.1","1009324"
"2000","Eric Cammack","NYM","0.1","1001864"
"1893","Frank O'Connor","PHI","0.2","1009712"
"2007","Charlton Jimerson","SEA","0.2","2171"
"1906","Hub Knolls","BRO","0.2","1007047"
"1914","Herman Bronkie","CHC","0.1","1001467"
"1914","Les Channell","NYY","0.1","1002136"
"1914","Clark Griffith","WAS","0.1","1005038"
"1913","Jim Baskette","CLE","0.1","1000640"
"1913","Clark Griffith","WAS","0.1","1005038"
"1920","Allie Watt","WAS","0.1","1013683"
"1976","Randy Lerch","PHI","0.1","1007551"
"1972","Larry Gowell","NYY","0.1","1004905"
"1920","Hal Deviney","BOS","0.2","1003244"
"1949","Jay Difani","WAS","0.1","1003293"
"1949","Dave Ferriss","BOS","0.1","1004012"
"1949","Steve Kuczek","BSN","0.1","1007197"
"1971","Mike Caldwell","SDP","0.1","1001830"
"1971","Don Eddy","CHW","0.1","1003663"
"1975","Davey Johnson","ATL","0.1","1006440"
"1967","Larry Loughlin","PHI","0.1","1007770"
"1969","Tom Hilgendorf","STL","0.1","1005806"
"1978","Rob Belloir","ATL","0.1","1000819"
"1928","Bill Windle","PIT","0.1","1014122"
"1893","Billy Gumbert","LOU","0.1","1005140"
"1922","Hooks Cotter","CHC","0.1","1002661"
"1922","Uel Eubanks","CHC","0.1","1003851"
"1922","Red Lutz","CIN","0.1","1007853"
"1939","Elmer Burkart","PHI","0.1","1001673"
"1938","Charley Suche","CLE","0.1","1012665"
"1963","Roy Gleason","LAD","0.1","1004771"
"1991","Mike Jeffcoat","TEX","0.1","1006378"
"1925","Benny Meyer","PHI","0.1","1008819"
"1932","Bill Sherdel","STL","0.1","1011869"
"1959","Jim Stump","DET","0.1","1012651"
"2011","Brandon Lyon","HOU","0.1","1312"
"1995","Norm Charlton","PHI","0.1","1002160"
"1997","John Wetteland","TEX","0.1","1013815"
"1998","Tom Candiotti","OAK","0.2","1001911"
"1998","Jerry Spradlin","PHI","0.1","1012353"
"2015","Chin-hui Tsao","LAD","0.1","1776"
"2015","Branden Pinder","NYY","0.1","12093"
"2007","Joel Peralta","KCR","0.1","2332"
"2007","Jason Hammel","TBD","0.1","4538"
"2003","Jeff Tam","TOR","0.1","940"
"2003","Jose Valverde","ARI","0.1","1726"
"2018","Enny Romero","- - -","0.1","4001"
"2004","Michael Gonzalez","PIT","0.1","1794"
"2004","Neal Cotts","CHW","0.1","1797"
"2016","Matt Albers","CHW","0.1","4300"
"2001","Trey Moore","ATL","0.1","1009130"
"2006","Scott Munter","SFG","0.1","3470"
"2017","Sean Gilmartin","NYM","0.1","12781"
