"Season","Name","Team","WAR","playerid"
"1871","Dickie Flowers","TRO","0.0","1004174"
"1873","Rynie Wolters","ELI","0.1","1014201"
"1875","Bill Boyd","BKA","0.0","1001274"
"1876","Joe Blong","STL","0.0","1001083"
"1876","Charlie Gould","CIN","0.0","1004901"
"1876","Flip Lafferty","PHN","0.1","1007249"
"1876","John Peters","CHI","0.0","1010232"
"1876","Deacon White","CHI","0.1","1013860"
"1876","George Wright","BSN","0.0","1014277"
"1880","Tom Burns","CHI","0.0","1001720"
"1880","King Kelly","CHI","0.0","1006806"
"1882","Ed Brown","STL","0.0","1001513"
"1882","Charlie Comiskey","STL","0.0","1002484"
"1882","John Morrill","BSN","0.0","1009214"
"1882","Yank Robinson","DET","0.0","1011079"
"1882","George Snyder","PHA","0.1","1012246"
"1883","Cap Anson","CHI","0.0","1000272"
"1883","Jake Evans","CLE","0.0","1003866"
"1883","Curry Foley","BUF","-0.1","1004195"
"1883","King Kelly","CHI","0.0","1006806"
"1884","Jack Corcoran","BRO","0.0","1002616"
"1884","Ed Coughlin","BUF","0.0","1002670"
"1884","Jim Fogarty","PHI","0.0","1004191"
"1884","Paul Hines","PRO","0.0","1005845"
"1884","Frank Kreeger","KCC","-0.1","1007150"
"1885","Jimmy Macullar","BAL","0.0","1007936"
"1885","Ed Seward","PRO","0.0","1011763"
"1885","Bill Stemmeyer","BSN","-0.1","1012480"
"1885","Ned Williamson","CHI","0.1","1014027"
"1885","George Wood","DET","0.0","1014217"
"1886","Jim Fogarty","PHI","0.0","1004191"
"1886","Tommy McCarthy","PHI","0.0","1008379"
"1886","John Morrill","BSN","0.0","1009214"
"1886","Ned Williamson","CHI","0.0","1014027"
"1887","Lou Bierbauer","PHA","0.0","1000953"
"1887","Jocko Fields","PIT","0.0","1004029"
"1887","Jack Glasscock","IND","0.0","1004757"
"1887","Darby O'Brien","NYM","0.0","1009686"
"1887","Bob Pettit","CHI","0.0","1010248"
"1887","Danny Richardson","NYG","0.0","1010904"
"1888","Lou Bierbauer","PHA","0.1","1000953"
"1888","Jumbo Schoeneck","IND","0.0","1011599"
"1888","George Shoch","WAS","0.0","1011916"
"1889","Charlie Comiskey","STL","0.0","1002484"
"1889","Jack Glasscock","IND","-0.1","1004757"
"1889","Arthur Irwin","WAS","0.0","1006276"
"1889","John Morrill","WAS","0.0","1009214"
"1889","Billy Nash","BSN","0.0","1009456"
"1889","Larry Twitchell","CLE","0.0","1013243"
"1890","Fred Demarais","CHI","0.0","1003189"
"1890","John Grim","RCH","0.0","1005067"
"1890","Billy Nash","BSR","0.0","1009456"
"1890","Joe Sommer","CLE","-0.1","1012275"
"1891","Ed Clark","COL","0.0","1002279"
"1891","Kid Keenan","CKE","0.1","1006751"
"1891","Paul Radford","BSR","0.0","1010640"
"1891","Cyclone Ryan","BSN","0.0","1011336"
"1891","John Slagle","CKE","0.0","1012049"
"1892","Bumpus Jones","CIN","0.1","1006533"
"1893","Jimmy Ryan","CHI","0.1","1011341"
"1894","Kirtley Baker","BAL","0.0","1000462"
"1894","Jimmy Bannon","BSN","-0.1","1000518"
"1894","Bones Ely","STL","-0.1","1003761"
"1894","George Stultz","BSN","0.1","1012648"
"1894","Jake Virtue","CLE","0.0","1013440"
"1895","Bill Banks","BSN","0.1","1000511"
"1895","Bill Kling","LOU","0.0","1007006"
"1896","John Gilroy","WAS","0.0","1004737"
"1896","Bug Holliday","CIN","0.0","1005957"
"1896","Joe Kostal","LOU","0.0","1007121"
"1896","Patsy Tebeau","CLE","0.0","1012900"
"1896","John Wood","STL","0.0","1014223"
"1897","Joe Stanley","WAS","0.0","1012414"
"1899","Clay Fauver","LOU","0.1","1003962"
"1899","Lefty Herring","WAS","0.0","1005729"
"1899","Youngy Johnson","NYG","0.0","1006514"
"1899","Harry Lochhead","CLE","0.0","1007685"
"1899","Jay Parker","PIT","0.0","1010004"
"1899","Doc Sechrist","NYG","0.0","1011711"
"1900","Zaza Harvey","CHI","0.0","1005471"
"1900","George Van Haltren","NYG","-0.1","1013357"
"1900","Honus Wagner","PIT","-0.1","1013485"
"1901","Bill Bradley","CLE","0.0","1001304"
"1901","Harry Felix","NYG","0.0","1003973"
"1901","Charlie Ferguson","CHI","-0.1","1003988"
"1901","Jimmy McAleer","CLE","-0.1","1008322"
"1901","Bob Wicker","STL","0.0","1013916"
"1902","Mike Donlin","CIN","0.0","1003380"
"1902","Ed Fisher","DET","0.0","1004084"
"1902","Emmet Heidrick","SLB","0.0","1005587"
"1902","Joe Sugden","SLB","0.0","1012672"
"1902","Honus Wagner","PIT","0.1","1013485"
"1902","Bobby Wallace","SLB","0.1","1013542"
"1902","Lave Winham","BRO","0.0","1014134"
"1903","Bill Bartley","NYG","-0.1","1000627"
"1903","Elmer Bliss","NYH","0.1","1001074"
"1903","Buck Hooker","CIN","0.0","1005998"
"1903","Ed Taylor","STL","0.0","1012869"
"1904","Jim Delahanty","BSN","0.0","1003157"
