,Name,Season,Team,WAR
0,Alfredo Amezaga,2002,ANA,3.2
1,Garret Anderson,1994,CAL,23.9
2,Kevin Appier,1989,KCR,50.50000000000001
3,Scott Patterson,2008,- - -,0.0
4,Jamie Burke,2001,ANA,0.6
5,Mickey Callaway,1999,TBD,0.7999999999999999
6,Dennis Cook,1988,SFG,5.199999999999999
7,David Eckstein,2001,ANA,16.6
8,Darin Erstad,1996,CAL,28.500000000000004
9,Brad Fullmer,1997,MON,4.699999999999999
10,Benji Gil,1993,TEX,2.1
11,Troy Glaus,1998,ANA,34.5
12,Nathan Haynes,2007,LAA,0.0
13,Neftali Feliz,2009,TEX,4.2
14,Adam Kennedy,1999,STL,18.199999999999996
15,Mark Lukasiewicz,2001,ANA,0.09999999999999998
16,Bengie Molina,1998,ANA,9.6
17,Jose Molina,1999,CHC,17.6
18,Ramon Ortiz,1999,ANA,5.699999999999999
19,Orlando Palmeiro,1995,CAL,2.1000000000000005
20,Troy Percival,1995,CAL,11.399999999999999
21,Lou Pote,1999,ANA,1.3
22,Tim Salmon,1992,CAL,35.400000000000006
23,Scott Schoeneweis,1999,ANA,5.6000000000000005
24,Aaron Sele,1993,BOS,29.1
25,Scot Shields,2001,ANA,9.300000000000002
26,Xavier Cedeno,2011,HOU,1.2000000000000004
27,Scott Spiezio,1996,OAK,8.8
28,Donne Wall,1995,HOU,2.0
29,Jarrod Washburn,1998,ANA,21.799999999999994
30,Ben Weber,2000,- - -,2.0
31,Matt Wise,2000,ANA,2.4
32,Shawn Wooten,2000,ANA,0.0
33,Brian Anderson,1993,CAL,10.299999999999999
34,Rod Barajas,1999,ARI,3.3000000000000003
35,Miguel Batista,1992,PIT,13.799999999999999
36,Danny Bautista,1993,DET,2.2
37,Jay Bell,1986,CLE,37.800000000000004
38,Kyle Blanks,2009,SDP,3.5
39,Greg Colbrunn,1992,MON,8.4
40,Craig Counsell,1995,COL,17.5
41,Steve Finley,1989,BAL,40.5
42,Luis Gonzalez,1990,HOU,55.0
43,Mark Grace,1988,CHC,45.3
44,Jose Guillen,1997,PIT,3.000000000000001
45,Rick Helling,1994,TEX,12.5
46,Randy Johnson,1988,MON,108.39999999999999
47,Byung-Hyun Kim,1999,ARI,10.299999999999999
48,Eric Knott,2001,ARI,0.3
49,Mike Koplove,2001,ARI,1.8
50,Matt Mantei,1995,FLA,3.8
51,Damian Miller,1997,MIN,12.7
52,Mike Morgan,1978,OAK,26.0
53,Mike Myers,1995,- - -,1.9000000000000001
54,John Patterson,2002,ARI,5.8
55,Armando Reynoso,1991,ATL,8.1
56,Curt Schilling,1988,BAL,78.8
57,Junior Spivey,2001,ARI,7.499999999999999
58,Todd Stottlemyre,1988,TOR,30.700000000000003
59,Greg Swindell,1986,CLE,32.199999999999996
60,Matt Williams,1987,SFG,44.599999999999994
61,Tony Womack,1993,PIT,1.6000000000000003
62,Henry Blanco,1997,LAD,4.5
63,Darren Bragg,1994,SEA,8.400000000000002
64,Vinny Castilla,1991,ATL,18.0
65,John Ennis,2002,ATL,0.1
66,Julio Franco,1982,PHI,42.2
67,Rafael Furcal,2000,ATL,33.199999999999996
68,Marcus Giles,2001,ATL,17.8
69,Tom Glavine,1987,ATL,73.2
70,Chris Hammond,1990,CIN,14.299999999999999
71,Darren Holmes,1990,LAD,7.999999999999999
72,Andruw Jones,1996,ATL,66.9
73,Chipper Jones,1993,ATL,84.6
74,Ryan Langerhans,2002,ATL,4.2
75,Kerry Ligtenberg,1997,ATL,3.4000000000000004
76,Albie Lopez,1993,CLE,5.3
77,Javy Lopez,1992,ATL,30.7
78,Greg Maddux,1986,CHC,118.20000000000002
